"tw_function","dependency","dep_function"
"classificaUtenti","base","as.character"
"classificaUtenti","base","Encoding"
"classificaUtenti","base","grep"
"classificaUtenti","base","grepl"
"classificaUtenti","base","gsub"
"classificaUtenti","base","iconv"
"classificaUtenti","base","ifelse"
"classificaUtenti","base","is.factor"
"classificaUtenti","base","is.na"
"classificaUtenti","base","is.null"
"classificaUtenti","base","length"
"classificaUtenti","base","match"
"classificaUtenti","base","max"
"classificaUtenti","base","names"
"classificaUtenti","base","nchar"
"classificaUtenti","base","order"
"classificaUtenti","base","paste0"
"classificaUtenti","base","return"
"classificaUtenti","base","row.names"
"classificaUtenti","base","rownames"
"classificaUtenti","base","sapply"
"classificaUtenti","base","strsplit"
"classificaUtenti","base","substr"
"classificaUtenti","base","sum"
"classificaUtenti","base","table"
"classificaUtenti","base","tolower"
"classificaUtenti","base","unlist"
"classificaUtenti","base","which"
"classificaUtenti","base","which.max"
"classificaUtenti","utils","data"
"normalizzacaratteri","base","gsub"
"normalizzaemote","base","gsub"
"normalizzaEmoticons","base","encodeString"
"normalizzaEmoticons","base","gsub"
"normalizzaEmoticons","base","nrow"
"normalizzaEmoticons","utils","data"
"normalizzahtml","base","gsub"
"normalizzapunteggiatura","base","gsub"
"normalizzapunteggiatura","base","paste"
"normalizzaslang","base","gsub"
"normalizzaTesti","base","attr"
"normalizzaTesti","base","c"
"normalizzaTesti","base","gsub"
"normalizzaTesti","base","is.character"
"normalizzaTesti","base","is.null"
"normalizzaTesti","base","paste"
"normalizzaTesti","base","Sys.setlocale"
"normalizzaTesti","TextWiller","normalizzacaratteri"
"normalizzaTesti","TextWiller","normalizzaemote"
"normalizzaTesti","TextWiller","normalizzaEmoticons"
"normalizzaTesti","TextWiller","normalizzahtml"
"normalizzaTesti","TextWiller","normalizzapunteggiatura"
"normalizzaTesti","TextWiller","normalizzaslang"
"normalizzaTesti","TextWiller","preprocessingEncoding"
"normalizzaTesti","TextWiller","removeStopwords"
"normalizzaTesti","TextWiller","tryTolower"
"normalizzaTesti","utils","data"
"patternExtract","base","data.frame"
"patternExtract","base","is.null"
"patternExtract","base","lapply"
"patternExtract","base","length"
"patternExtract","base","names"
"patternExtract","base","rbind"
"patternExtract","base","return"
"patternExtract","base","rownames"
"patternExtract","base","sapply"
"patternExtract","base","t"
"patternExtract","base","unlist"
"patternExtract","stringr","str_extract_all"
"preprocessingEncoding","base","Encoding"
"preprocessingEncoding","base","iconv"
"preprocessingEncoding","base","is.logical"
"preprocessingEncoding","base","mean"
"preprocessingEncoding","base","nchar"
"preprocessingEncoding","base","paste"
"preprocessingEncoding","base","round"
"preprocessingEncoding","base","sapply"
"preprocessingEncoding","base","sum"
"preprocessingEncoding","base","try"
"preprocessingEncoding","base","unique"
"preprocessingEncoding","base","warning"
"preprocessingEncoding","methods","is"
"removeStopwords","base","ifelse"
